"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_gas","conversion_factor_pri_landfill_gas","conversion_factor_sec_biogas","conversion_factor_sec_natural_gas_syn","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_sewage_gas_emi_co2_f_pow","ef_pri_landfill_gas_emi_co2_f_pow","ef_sec_biogas_emi_co2_f_pow","ef_sec_natural_gas_syn_emi_co2_f_pow"
53,"CY",2050,"pow_combustion_ic_chp_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
54,"CY",2060,"pow_combustion_ic_chp_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
55,"CY",2070,"pow_combustion_ic_chp_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
56,"CZ",2020,"pow_combustion_ic_chp_biogas_0_ag",5.808,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
57,"CZ",2021,"pow_combustion_ic_chp_biogas_0_ag",5.808,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
58,"CZ",2024,"pow_combustion_ic_chp_biogas_0_ag",2.808,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
59,"CZ",2027,"pow_combustion_ic_chp_biogas_0_ag",2.808,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
60,"CZ",2030,"pow_combustion_ic_chp_biogas_0_ag",0.537,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
61,"CZ",2035,"pow_combustion_ic_chp_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
62,"CZ",2040,"pow_combustion_ic_chp_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
